#{"t_start": 1783350907.7420318, "env_id": "CartPole-v1"}
r,l,t
10.0,10,1.75581
11.0,11,1.757819
10.0,10,1.759788
8.0,8,1.761232
12.0,12,1.764449
9.0,9,1.766124
9.0,9,1.767576
9.0,9,1.769086
10.0,10,1.772247
10.0,10,1.773831
9.0,9,1.775688
9.0,9,1.777196
10.0,10,1.779844
10.0,10,1.781857
9.0,9,1.783402
9.0,9,1.784936
12.0,12,1.788135
10.0,10,1.790141
11.0,11,1.79219
10.0,10,1.79375
9.0,9,1.79646
11.0,11,1.798467
9.0,9,1.800063
11.0,11,1.802672
10.0,10,1.806022
9.0,9,1.8076
9.0,9,1.809074
10.0,10,1.811098
8.0,8,1.813736
10.0,10,1.815463
11.0,11,1.817573
11.0,11,1.819591
9.0,9,1.822308
9.0,9,1.823787
10.0,10,1.825712
10.0,10,1.827316
9.0,9,1.830025
13.0,13,1.832683
10.0,10,1.834314
8.0,8,1.835739
11.0,11,1.838984
8.0,8,1.840436
9.0,9,1.841911
10.0,10,1.844575
11.0,11,1.847324
11.0,11,1.849488
10.0,10,1.851483
10.0,10,1.85301
10.0,10,1.856154
9.0,9,1.85762
9.0,9,1.859121
9.0,9,1.860645
10.0,10,1.863735
11.0,11,1.86588
10.0,10,1.867457
10.0,10,1.869462
10.0,10,1.872248
8.0,8,1.873688
10.0,10,1.875642
10.0,10,1.877205
10.0,10,1.880294
10.0,10,1.88193
9.0,9,1.883486
10.0,10,1.885519
9.0,9,1.888288
10.0,10,1.89023
9.0,9,1.891722
9.0,9,1.89317
8.0,8,1.895684
9.0,9,1.897152
8.0,8,1.898657
11.0,11,1.900755
9.0,9,1.903592
10.0,10,1.905539
9.0,9,1.907043
11.0,11,1.90912
10.0,10,1.911855
10.0,10,1.913788
9.0,9,1.915356
8.0,8,1.916969
10.0,10,1.920215
10.0,10,1.921832
9.0,9,1.923334
9.0,9,1.925231
9.0,9,1.927839
8.0,8,1.929258
10.0,10,1.930709
8.0,8,1.932304
8.0,8,1.935197
10.0,10,1.937154
11.0,11,1.939159
9.0,9,1.940702
10.0,10,1.943415
8.0,8,1.944844
10.0,10,1.946812
9.0,9,1.948318
10.0,10,1.952342
10.0,10,1.953898
9.0,9,1.955444
10.0,10,1.957418
9.0,9,1.960032
11.0,11,1.962034
8.0,8,1.963465
10.0,10,1.965099
10.0,10,1.968494
8.0,8,1.969905
10.0,10,1.971453
10.0,10,1.973453
10.0,10,1.976043
10.0,10,1.978003
10.0,10,1.979543
11.0,11,1.981652
8.0,8,1.984507
9.0,9,1.986034
9.0,9,1.987928
11.0,11,1.989581
11.0,11,1.99267
9.0,9,1.994098
9.0,9,1.996004
10.0,10,1.997631
11.0,11,2.001146
9.0,9,2.002612
11.0,11,2.004585
9.0,9,2.006079
9.0,9,2.008756
10.0,10,2.01075
10.0,10,2.012332
11.0,11,2.014422
13.0,13,2.017957
9.0,9,2.01989
10.0,10,2.021479
11.0,11,2.023528
9.0,9,2.026102
10.0,10,2.028082
10.0,10,2.029657
