#{"t_start": 1783351590.113035, "env_id": "CartPole-v1"}
r,l,t
10.0,10,2.662713
10.0,10,2.664174
9.0,9,2.66597
10.0,10,2.668673
9.0,9,2.670146
14.0,14,2.672623
9.0,9,2.674101
10.0,10,2.677163
9.0,9,2.678633
11.0,11,2.680547
10.0,10,2.682025
10.0,10,2.685103
9.0,9,2.686632
11.0,11,2.68843
10.0,10,2.690029
12.0,12,2.693432
14.0,14,2.696051
11.0,11,2.697705
15.0,15,2.70032
11.0,11,2.70337
9.0,9,2.704796
11.0,11,2.706622
9.0,9,2.708111
9.0,9,2.711255
10.0,10,2.713261
10.0,10,2.714752
12.0,12,2.716769
10.0,10,2.719887
9.0,9,2.721308
11.0,11,2.723205
9.0,9,2.724708
9.0,9,2.727267
15.0,15,2.729908
10.0,10,2.731931
9.0,9,2.733274
10.0,10,2.735955
11.0,11,2.738001
9.0,9,2.739439
10.0,10,2.741407
9.0,9,2.744192
14.0,14,2.746754
9.0,9,2.748222
8.0,8,2.749618
12.0,12,2.75282
10.0,10,2.754247
10.0,10,2.756194
8.0,8,2.757615
11.0,11,2.761592
9.0,9,2.763001
12.0,12,2.765113
9.0,9,2.766587
10.0,10,2.769712
10.0,10,2.771262
8.0,8,2.772682
10.0,10,2.774696
12.0,12,2.777949
10.0,10,2.779403
9.0,9,2.780818
8.0,8,2.782279
12.0,12,2.785519
12.0,12,2.787533
9.0,9,2.789515
8.0,8,2.790892
10.0,10,2.793717
11.0,11,2.795756
9.0,9,2.797283
9.0,9,2.798721
11.0,11,2.8017
13.0,13,2.803755
10.0,10,2.805791
15.0,15,2.808445
10.0,10,2.811267
14.0,14,2.813802
13.0,13,2.815849
10.0,10,2.817308
10.0,10,2.820431
10.0,10,2.821878
10.0,10,2.823775
11.0,11,2.825796
10.0,10,2.828729
10.0,10,2.83073
10.0,10,2.832271
9.0,9,2.833792
10.0,10,2.836904
12.0,12,2.83897
10.0,10,2.840488
9.0,9,2.842402
10.0,10,2.845409
8.0,8,2.846887
8.0,8,2.84825
12.0,12,2.850254
9.0,9,2.852869
10.0,10,2.854814
12.0,12,2.856904
11.0,11,2.858918
11.0,11,2.861987
11.0,11,2.864665
10.0,10,2.86656
10.0,10,2.86806
10.0,10,2.871214
9.0,9,2.872704
10.0,10,2.87415
9.0,9,2.876146
9.0,9,2.879266
9.0,9,2.880668
10.0,10,2.882665
10.0,10,2.884166
16.0,16,2.888015
12.0,12,2.890143
11.0,11,2.892136
9.0,9,2.893684
11.0,11,2.896926
9.0,9,2.898314
10.0,10,2.900264
10.0,10,2.901884
10.0,10,2.904915
10.0,10,2.90648
